ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy,star_rating,ccs_score,sector,exit_reason,shares,dollar_pnl,defer_count,last_defer_date,post_exit_return_5d,post_exit_return_10d,post_exit_return_20d,feat_RSI,feat_adx,feat_macd_hist,feat_bollinger_pband,feat_atr_pct,feat_vol_z20,feat_obv_z20,feat_cmf_20,feat_pos_52w,feat_ret_5d,feat_ret_20d,feat_ema_gap_20_50,feat_ema_gap_50_200,feat_volatility_contraction,feat_buy_support_count,feat_alpha_score,feat_factor_momentum,feat_factor_trend,feat_factor_volume,feat_factor_volatility,feat_factor_mean_reversion,feat_bottom_reversal_fit,feat_momentum_fit,feat_reversal_score,feat_low_prob,feat_sector,feat_in_strong_sector,feat_sector_relative_strength,feat_regime,feat_spy_close_to_ema200,feat_ccs_strategy_fit,feat_ccs_timing,feat_ccs_alpha,feat_ccs_risk,feat_ccs_confluence,feat_ccs_penalty
BKNG,2022-03-09,2022-03-25,78.90750963144085,89.0158717341005,0.1281,16,📉 바닥반등,★★★★★ (6.0),0.4515,Consumer Cyclical,"시간익절(15일,+12.6%)",31.682662546023,320.26,0,,0.0445,-0.0439,-0.0092,29.6950755312441,29.896691507884622,-2.6988147587624867,0.07651333613506263,0.062152809872679,1.8389639470526988,-1.3705634875177708,-0.09492407906152892,0.09295801948943991,-0.08323841144122701,-0.23500120582860462,-0.04119350780757049,-0.007528528891728988,,3,-0.9278766600145456,-0.7722207488160685,-0.40566751209238217,-0.29741875379702476,-0.9998191294983946,0.8807302860689183,6.0,2.0,6.0,,Consumer Cyclical,,-0.11770137711733773,bear,-0.1943002667923129,0.6,0.85,0.47,0.15,0.12,0.0
MA,2022-03-10,2022-03-30,313.8881463683338,354.9060181844876,0.1307,20,📉 바닥반등,★★★★★ (7.5),0.5118,Financial Services,"시간익절(19일,+14.2%)",7.9646206106373985,326.69,0,,-0.0287,-0.023,0.0422,36.213395605637274,31.581076972242474,-5.3864116042133325,0.15983918964802823,0.04286320485358465,-0.6441061698806606,-1.2961670077601528,-0.13861932682335784,0.24486643871122854,-0.04638326040759755,-0.12351417736280601,-0.02124695365655376,-0.006714329825453939,,2,-0.920025756696996,-0.47708370076932277,-0.2795717754989332,-0.5357627198905575,-0.9927183434408445,0.7645637950706855,7.5,4.0,6.0,,Financial Services,,-0.08867021212586543,bear,-0.0876539159212793,0.75,0.7,0.451,0.3,0.27,0.0
PM,2022-03-21,2022-04-21,77.44111411708036,85.81050978944678,0.1081,31,📉 바닥반등,★★★★★ (6.5),0.4353,Consumer Defensive,"시간익절(30일,+10.5%)",0.0,0.0,0,,-0.0093,-0.0348,-0.0278,39.9529784816724,43.01676343954194,-0.40960532734522426,0.32817115541189484,0.027653827547238347,0.45552264269034215,0.6091362217977909,-0.21471162047074108,0.3361513882604978,0.056599539441481106,-0.16085783006722243,-0.020469731899643177,0.025655764401590588,,3,-0.8786415095968746,-0.4361793296801443,0.22935163882089257,-0.15631823018909724,-0.9888526091095171,0.5544905241712881,6.5,4.0,6.0,,Consumer Defensive,,-0.18297194225237298,neutral,-0.026006894574757924,0.65,0.7,0.465,0.15,0.17,0.0
GM,2022-04-11,2022-04-27,37.3566785523327,36.85615198193563,-0.0134,16,📉 바닥반등,★★★★★ (6.5),0.4856,Consumer Cyclical,트레일링(-9.6%),75.5815537073541,-37.83,0,,0.0752,-0.0266,-0.0603,35.32367822538633,25.62783728143757,-0.32589467675748773,0.04381479829334937,0.04373958431446809,1.0059826803086014,-1.8746541166992048,-0.11339146767415172,0.02331586116586493,-0.08403164283945697,-0.052035894962400686,-0.06997421058563434,-0.12556311966043984,,3,-0.7864970974418113,-0.7075361077072899,-0.4628861417685296,-0.43631019076777827,-0.9022295846137381,0.82277229477841,6.5,2.0,6.0,,Consumer Cyclical,,-0.1036989981844,bull,-0.25069970433259586,0.65,0.95,0.461,0.15,0.17,0.0
NVDA,2022-04-29,2022-05-02,19.36673991620479,18.513294219970703,-0.0441,3,📉 바닥반등,★★★★★ (6.0),0.4928,Technology,교체→BMY,143.8365590967756,-122.76,0,,-0.0861,-0.0692,0.0067,38.10087028155488,30.48956445501043,-0.35785038481994813,0.25818479358680224,0.06658686008440036,0.17124155017787812,-1.0856265505290223,-0.2775839083098548,0.31081343616665263,-0.01986807257466383,-0.28559040716707684,-0.07279944066157598,-0.005578058224742856,1.9158906241070452,2,-0.6601922499127755,-0.718918614605876,-0.3085015418217453,-0.5169206857729205,-0.9955507397020543,0.6634759093123845,6.0,1.0,6.5,,Technology,,-0.18191494622383414,bear,-0.16025336206829877,0.6,0.7,0.418,0.4,0.18,0.0
NEM,2022-04-22,2022-05-10,63.41017306698213,62.057042397731486,-0.0213,18,📈 모멘텀,★★★★★ (9.0),0.6169,Basic Materials,트레일링(-7.5%),44.52717394965903,-60.25,0,,-0.0604,-0.0099,-0.0286,44.31438632359663,34.35757003335366,-0.5662059895986316,0.0682413595250296,0.0353446366260984,3.879201679300108,-1.9496408451324108,-0.08257755749411083,0.7469993544433052,-0.0858837825739841,-0.02344435503586839,0.06660363621203896,0.15020685663750977,1.499307133166259,3,-0.5591609170957087,0.3427409186689008,0.4651053152791025,-0.26066171573689695,-0.9308016955045025,0.601121890058383,8.0,9.0,6.0,,Basic Materials,,0.03564872370499028,bear,0.17486747491257285,0.9,0.65,0.539,0.55,0.37,0.0
FCX,2022-05-10,2022-05-13,34.564728030184675,32.80959952949077,-0.0508,3,📉 바닥반등,★★★★★ (6.0),0.5288,Basic Materials,트레일링(-6.3%),79.94348224675998,-140.31,0,,0.0443,0.1404,0.069,25.514474145132823,30.316113793049876,-0.6943911443684057,0.05624768699096014,0.060328155319369435,1.5281796978918927,-1.867806317930087,-0.24493226094893153,0.24595159142266929,-0.11597835171649207,-0.2723843183317831,-0.04434557401984169,0.06826611109050508,1.4506289270894424,3,-0.46218213929801377,-0.6082189480499159,0.12042470657548796,-0.4998601284808346,-0.905526373249125,0.9151099031687844,6.0,2.0,5.5,,Basic Materials,,-0.05582181163934352,bear,-0.14518128409001368,0.6,0.85,0.508,0.4,0.11,0.0
MOS,2022-05-13,2022-05-19,55.118018143115656,55.00072300484864,-0.0021,6,📉 바닥반등,★★★★★ (6.8),0.4705,Basic Materials,트레일링(-6.4%),47.58722693364396,-5.58,0,,-0.0328,-0.0185,-0.168,39.69169762985766,23.168814793116617,-1.1009396038798063,0.2130540437552335,0.0778676813386693,-0.6768728044643872,-0.9036967147268461,-0.017819692841647302,0.6082942585069072,-0.09253815632384577,-0.21732157263062069,0.020947517820297076,0.28019519591924025,2.0113112368749797,2,-0.32498680119283707,0.06641037719506449,0.15723931849513995,-0.2662196695337159,-0.9976423908179006,0.662123773615062,6.75,6.0,6.0,,Basic Materials,,-0.12264172435855701,bear,0.20086692269162168,0.675,0.55,0.499,0.275,0.37,0.0
BMY,2022-05-02,2022-05-24,63.62684347197291,64.74962175541266,0.0176,22,📈 모멘텀,★★★★★ (11.0),0.6312,Healthcare,"장기보유(21일,+1.8%)",41.85165242905363,46.99,0,,-0.0227,-0.0068,0.0129,52.35104006959299,38.85624801478513,-0.33530143152598946,0.30624317429750864,0.020377874148781165,2.6283797043036965,0.6525543848218541,0.17694759828459383,0.8999813611899479,-0.006336925126523507,0.03067211044976803,0.04168610129645416,0.09696709062488669,1.2007330666859608,4,0.14792540659343809,0.5362117633628242,0.5660725844838855,0.5917565644437108,-0.5843942837518766,0.17048740244332045,6.0,11.0,6.0,,Healthcare,,0.08046074354183272,bear,0.13906294902286012,1.0,0.7,0.657,0.45,0.37,0.0
PANW,2022-05-20,2022-06-13,81.33999633789062,79.07499694824219,-0.0278,24,📉 바닥반등,★★★★★ (6.0),0.5268,Technology,트레일링(-6.0%),32.17767402242914,-72.88,0,,0.0525,0.0368,0.04,29.600450949255816,48.0559410447271,-1.305214963610089,0.10964076871795303,0.06903841069359576,2.8187795037351724,-1.8686925053286727,-0.1483389116079254,0.3067510919001624,-0.08806500586901056,-0.26288850276247233,-0.06171912213855654,0.05758344822089309,2.342497037657973,3,-0.5212438788602625,-0.7331183002004587,0.0757764273715848,-0.3742031238673002,-0.9997405542159374,0.8699263477273416,6.0,2.0,5.5,,Technology,,-0.15899925314726548,bear,-0.14809124589916262,0.6,0.85,0.488,0.4,0.11,0.0
